index	file	method	dataset	source_experiment	source_run_id	documents_path	run_name
111	111_graphseg_natural_questions_validation_300_docs_from_008_graphseg_batch2_next2_datasets_run_0001.yaml	graphseg	natural_questions_validation_300_docs	008_graphseg_batch2_next2_datasets	run_0001	data/processed/natural_questions/validation_300_docs/documents/documents.jsonl	rerun_111_graphseg_natural_questions_validation_300_docs_run_0001
112	112_graphseg_poquad_validation_from_008_graphseg_batch2_next2_datasets_run_0002.yaml	graphseg	poquad_validation	008_graphseg_batch2_next2_datasets	run_0002	data/processed/poquad/validation/documents/documents.jsonl	rerun_112_graphseg_poquad_validation_run_0002
113	113_lumberchunker_api_natural_questions_validation_300_docs_from_010_lumberchunker_api_batch2_next2_datasets_run_0001.yaml	lumberchunker_api	natural_questions_validation_300_docs	010_lumberchunker_api_batch2_next2_datasets	run_0001	data/processed/natural_questions/validation_300_docs/documents/documents.jsonl	rerun_113_lumberchunker_api_natural_questions_validation_300_docs_run_0001
114	114_lumberchunker_api_poquad_validation_from_010_lumberchunker_api_batch2_next2_datasets_run_0002.yaml	lumberchunker_api	poquad_validation	010_lumberchunker_api_batch2_next2_datasets	run_0002	data/processed/poquad/validation/documents/documents.jsonl	rerun_114_lumberchunker_api_poquad_validation_run_0002
115	115_lumberchunker_api_qasper_test_from_013_lumberchunker_api_batch3_last3_datasets_run_0001.yaml	lumberchunker_api	qasper_test	013_lumberchunker_api_batch3_last3_datasets	run_0001	data/processed/qasper/test/documents/documents.jsonl	rerun_115_lumberchunker_api_qasper_test_run_0001
116	116_lumberchunker_api_squad_train_from_013_lumberchunker_api_batch3_last3_datasets_run_0002.yaml	lumberchunker_api	squad_train	013_lumberchunker_api_batch3_last3_datasets	run_0002	data/processed/squad/train/documents/documents.jsonl	rerun_116_lumberchunker_api_squad_train_run_0002
117	117_lumberchunker_api_triviaqa_span_annotated_test_artificial_1000_docs_from_013_lumberchunker_api_batch3_last3_datasets_run_0003.yaml	lumberchunker_api	triviaqa_span_annotated_test_artificial_1000_docs	013_lumberchunker_api_batch3_last3_datasets	run_0003	data/processed/triviaqa_span_annotated/test_artificial_1000_docs/documents/documents.jsonl	rerun_117_lumberchunker_api_triviaqa_span_annotated_test_artificial_1000_docs_run_0003
118	118_text_tiling_poquad_validation_merged_from_017_text_tiling_problematic_datasets_run_0001.yaml	text_tiling	poquad_validation_merged	017_text_tiling_problematic_datasets	run_0001	data/processed/poquad/validation_merged/documents/documents.jsonl	rerun_118_text_tiling_poquad_validation_merged_run_0001
119	119_text_tiling_novelqa_public_from_017_text_tiling_problematic_datasets_run_0002.yaml	text_tiling	novelqa_public	017_text_tiling_problematic_datasets	run_0002	data/processed/novelqa/public/documents/documents.jsonl	rerun_119_text_tiling_novelqa_public_run_0002
120	120_text_tiling_gutenqa_all_merged_from_017_text_tiling_problematic_datasets_run_0003.yaml	text_tiling	gutenqa_all_merged	017_text_tiling_problematic_datasets	run_0003	data/processed/gutenqa/all_merged/documents/documents.jsonl	rerun_120_text_tiling_gutenqa_all_merged_run_0003
121	121_text_tiling_triviaqa_span_annotated_test_artificial_1000_docs_merged_from_017_text_tiling_problematic_datasets_run_0004.yaml	text_tiling	triviaqa_span_annotated_test_artificial_1000_docs_merged	017_text_tiling_problematic_datasets	run_0004	data/processed/triviaqa_span_annotated/test_artificial_1000_docs_merged/documents/documents.jsonl	rerun_121_text_tiling_triviaqa_span_annotated_test_artificial_1000_docs_merged_run_0004
122	122_graphseg_poquad_validation_merged_from_018_graphseg_problematic_batch1_first2_datasets_run_0001.yaml	graphseg	poquad_validation_merged	018_graphseg_problematic_batch1_first2_datasets	run_0001	data/processed/poquad/validation_merged/documents/documents.jsonl	rerun_122_graphseg_poquad_validation_merged_run_0001
123	123_graphseg_novelqa_public_from_018_graphseg_problematic_batch1_first2_datasets_run_0002.yaml	graphseg	novelqa_public	018_graphseg_problematic_batch1_first2_datasets	run_0002	data/processed/novelqa/public/documents/documents.jsonl	rerun_123_graphseg_novelqa_public_run_0002
124	124_lumberchunker_api_poquad_validation_merged_from_020_lumberchunker_api_problematic_batch1_first2_datasets_run_0001.yaml	lumberchunker_api	poquad_validation_merged	020_lumberchunker_api_problematic_batch1_first2_datasets	run_0001	data/processed/poquad/validation_merged/documents/documents.jsonl	rerun_124_lumberchunker_api_poquad_validation_merged_run_0001
125	125_lumberchunker_api_novelqa_public_from_020_lumberchunker_api_problematic_batch1_first2_datasets_run_0002.yaml	lumberchunker_api	novelqa_public	020_lumberchunker_api_problematic_batch1_first2_datasets	run_0002	data/processed/novelqa/public/documents/documents.jsonl	rerun_125_lumberchunker_api_novelqa_public_run_0002
126	126_graphseg_gutenqa_all_merged_from_021_graphseg_problematic_batch2_last2_datasets_run_0001.yaml	graphseg	gutenqa_all_merged	021_graphseg_problematic_batch2_last2_datasets	run_0001	data/processed/gutenqa/all_merged/documents/documents.jsonl	rerun_126_graphseg_gutenqa_all_merged_run_0001
127	127_graphseg_triviaqa_span_annotated_test_artificial_1000_docs_merged_from_021_graphseg_problematic_batch2_last2_datasets_run_0002.yaml	graphseg	triviaqa_span_annotated_test_artificial_1000_docs_merged	021_graphseg_problematic_batch2_last2_datasets	run_0002	data/processed/triviaqa_span_annotated/test_artificial_1000_docs_merged/documents/documents.jsonl	rerun_127_graphseg_triviaqa_span_annotated_test_artificial_1000_docs_merged_run_0002
128	128_lumberchunker_api_gutenqa_all_merged_from_023_lumberchunker_api_problematic_batch2_last2_datasets_run_0001.yaml	lumberchunker_api	gutenqa_all_merged	023_lumberchunker_api_problematic_batch2_last2_datasets	run_0001	data/processed/gutenqa/all_merged/documents/documents.jsonl	rerun_128_lumberchunker_api_gutenqa_all_merged_run_0001
129	129_lumberchunker_api_triviaqa_span_annotated_test_artificial_1000_docs_merged_from_023_lumberchunker_api_problematic_batch2_last2_datasets_run_0002.yaml	lumberchunker_api	triviaqa_span_annotated_test_artificial_1000_docs_merged	023_lumberchunker_api_problematic_batch2_last2_datasets	run_0002	data/processed/triviaqa_span_annotated/test_artificial_1000_docs_merged/documents/documents.jsonl	rerun_129_lumberchunker_api_triviaqa_span_annotated_test_artificial_1000_docs_merged_run_0002
130	130_dense_x_retrieval_gutenqa_all_from_024_dense_x_retrieval_gutenqa_all_run_0001.yaml	dense_x_retrieval	gutenqa_all	024_dense_x_retrieval_gutenqa_all	run_0001	data/processed/gutenqa/all/documents/documents.jsonl	rerun_130_dense_x_retrieval_gutenqa_all_run_0001
131	131_dense_x_retrieval_literaryqa_test_from_025_dense_x_retrieval_literaryqa_test_run_0001.yaml	dense_x_retrieval	literaryqa_test	025_dense_x_retrieval_literaryqa_test	run_0001	data/processed/literaryqa/test/documents/documents.jsonl	rerun_131_dense_x_retrieval_literaryqa_test_run_0001
132	132_dense_x_retrieval_natural_questions_validation_300_docs_from_026_dense_x_retrieval_natural_questions_validation_300_docs_run_0001.yaml	dense_x_retrieval	natural_questions_validation_300_docs	026_dense_x_retrieval_natural_questions_validation_300_docs	run_0001	data/processed/natural_questions/validation_300_docs/documents/documents.jsonl	rerun_132_dense_x_retrieval_natural_questions_validation_300_docs_run_0001
133	133_dense_x_retrieval_poquad_validation_from_027_dense_x_retrieval_poquad_validation_run_0001.yaml	dense_x_retrieval	poquad_validation	027_dense_x_retrieval_poquad_validation	run_0001	data/processed/poquad/validation/documents/documents.jsonl	rerun_133_dense_x_retrieval_poquad_validation_run_0001
134	134_dense_x_retrieval_qasper_test_from_028_dense_x_retrieval_qasper_test_run_0001.yaml	dense_x_retrieval	qasper_test	028_dense_x_retrieval_qasper_test	run_0001	data/processed/qasper/test/documents/documents.jsonl	rerun_134_dense_x_retrieval_qasper_test_run_0001
135	135_dense_x_retrieval_squad_train_from_029_dense_x_retrieval_squad_train_run_0001.yaml	dense_x_retrieval	squad_train	029_dense_x_retrieval_squad_train	run_0001	data/processed/squad/train/documents/documents.jsonl	rerun_135_dense_x_retrieval_squad_train_run_0001
136	136_dense_x_retrieval_triviaqa_span_annotated_test_artificial_1000_docs_from_030_dense_x_retrieval_triviaqa_test_artificial_1000_docs_run_0001.yaml	dense_x_retrieval	triviaqa_span_annotated_test_artificial_1000_docs	030_dense_x_retrieval_triviaqa_test_artificial_1000_docs	run_0001	data/processed/triviaqa_span_annotated/test_artificial_1000_docs/documents/documents.jsonl	rerun_136_dense_x_retrieval_triviaqa_span_annotated_test_artificial_1000_docs_run_0001
137	137_dense_x_retrieval_novelqa_public_from_032_dense_x_retrieval_novelqa_public_run_0001.yaml	dense_x_retrieval	novelqa_public	032_dense_x_retrieval_novelqa_public	run_0001	data/processed/novelqa/public/documents/documents.jsonl	rerun_137_dense_x_retrieval_novelqa_public_run_0001
138	138_dense_x_retrieval_gutenqa_all_merged_from_033_dense_x_retrieval_gutenqa_all_merged_run_0001.yaml	dense_x_retrieval	gutenqa_all_merged	033_dense_x_retrieval_gutenqa_all_merged	run_0001	data/processed/gutenqa/all_merged/documents/documents.jsonl	rerun_138_dense_x_retrieval_gutenqa_all_merged_run_0001
139	139_dense_x_retrieval_triviaqa_span_annotated_test_artificial_1000_docs_merged_from_034_dense_x_retrieval_triviaqa_test_artificial_1000_docs_merged_run_0001.yaml	dense_x_retrieval	triviaqa_span_annotated_test_artificial_1000_docs_merged	034_dense_x_retrieval_triviaqa_test_artificial_1000_docs_merged	run_0001	data/processed/triviaqa_span_annotated/test_artificial_1000_docs_merged/documents/documents.jsonl	rerun_139_dense_x_retrieval_triviaqa_span_annotated_test_artificial_1000_docs_merged_run_0001
